time,latitude,longitude,depth,magnitude,place
1609306423546,34.741,72.9466,10.0,5.0,"7 km NNW of Shingli Bala, Pakistan"
1609288527718,36.4858,140.6097,43.47,5.0,"4 km ENE of Funaishikawa, Japan"
1609284897647,-0.7603,-21.1005,10.0,5.7,central Mid-Atlantic Ridge
1609258908131,5.2608,125.2951,35.0,5.3,"24 km SW of Sarangani, Philippines"
1609240794762,45.4244,16.2573,10.0,6.4,"2 km WSW of Petrinja, Croatia"
1609225829079,43.389,-126.9951,10.0,5.7,"212 km W of Bandon, Oregon"
1609223009769,-6.3985,154.6521,23.63,5.4,"92 km W of Panguna, Papua New Guinea"
1609222744705,-6.4549,154.6586,10.0,5.0,"92 km W of Panguna, Papua New Guinea"
1609222417216,-6.495,154.6909,10.0,5.1,"90 km WSW of Panguna, Papua New Guinea"
1609198447244,-6.5479,154.9075,35.0,5.0,"Bougainville region, Papua New Guinea"
1609185806927,-11.3759,166.3599,51.78,5.0,"94 km SE of Lata, Solomon Islands"
1609140671352,-0.1917,124.5061,51.77,5.1,"170 km S of Tomohon, Indonesia"
1609134406797,14.2272,56.78,10.0,5.4,Owen Fracture Zone region
1609130777622,4.5718,126.8416,96.27,5.0,"178 km ESE of Sarangani, Philippines"
1609129940070,-47.5074,99.9538,10.0,5.7,southeast Indian Ridge
1609129825226,-47.5761,99.9793,10.0,5.1,southeast Indian Ridge
1609105619081,-39.8451,-75.2256,10.0,5.0,"153 km W of Corral, Chile"
1609105154770,-39.3398,-74.9849,10.0,6.7,"146 km WNW of Corral, Chile"
1609077320945,-19.079,-69.4161,110.76,5.1,"114 km SE of Arica, Chile"
1609053070861,-16.0229,-74.3085,39.0,5.7,"25 km SSE of Atiquipa, Peru"
1609051052897,38.4563,39.2302,9.0,5.5,"7 km WNW of Sivrice, Turkey"
1609036328645,-4.6138,153.2341,59.1,5.4,"111 km ESE of Kokopo, Papua New Guinea"
1608968969222,-10.8381,166.3271,146.9,5.1,"59 km ESE of Lata, Solomon Islands"
1608929266992,-18.9388,167.4282,10.0,5.0,"162 km SW of Port-Vila, Vanuatu"
1608896412838,-9.1954,119.7556,40.96,5.0,"73 km SSE of Komodo, Indonesia"
1608890674286,13.2955,122.3301,10.0,5.4,"20 km W of Silongin, Philippines"
1608861633427,5.0517,125.9067,100.59,5.1,"62 km SE of Sarangani, Philippines"
1608853421964,13.82,120.6539,109.0,6.3,"2 km ESE of Calatagan, Philippines"
1608844601881,-9.4727,157.8453,10.0,5.3,"187 km SE of Gizo, Solomon Islands"
1608840251840,-32.0508,-178.1015,10.0,5.1,south of the Kermadec Islands
1608783554712,-55.9228,-26.1256,10.0,5.0,South Sandwich Islands region
1608773053749,-0.152,124.4423,31.48,5.2,"167 km SSW of Tomohon, Indonesia"
1608761993350,-4.4368,101.0761,10.0,5.2,"149 km WSW of Bengkulu, Indonesia"
1608747107762,6.2544,133.6362,11.0,6.1,"90 km SW of Angaur State, Palau"
1608684681101,8.317,-103.152,10.0,5.7,northern East Pacific Rise
1608684307741,8.3585,-103.2274,10.0,5.7,northern East Pacific Rise
1608644273748,10.0821,126.0988,54.97,5.0,"9 km NE of Santa Monica, Philippines"
1608601659685,-58.8197,149.1819,10.0,5.4,west of Macquarie Island
1608581276035,-29.4585,-177.1363,21.48,5.0,"Kermadec Islands, New Zealand"
1608570535573,-16.3994,-177.4622,10.0,5.7,"241 km SSE of Alo, Wallis and Futuna"
1608497030030,-19.2175,167.511,10.0,5.3,"184 km SSW of Port-Vila, Vanuatu"
1608485002668,40.8667,142.5814,35.0,6.3,"100 km ENE of Hachinohe, Japan"
1608392822612,-44.6556,-80.8182,10.0,5.2,"Off the coast of Aisen, Chile"
1608336642420,54.6462,-159.7805,32.73,5.0,"89 km SSE of Sand Point, Alaska"
1608324555746,-32.6437,-178.8378,35.66,5.1,south of the Kermadec Islands
1608286610511,-6.2887,147.4216,41.52,5.2,"55 km WNW of Finschhafen, Papua New Guinea"
1608193851283,0.2789,125.0019,53.32,5.1,"113 km S of Tondano, Indonesia"
1608145999220,51.2551,-178.1353,41.83,5.0,"124 km SW of Adak, Alaska"
1608140924849,-16.5756,-71.4433,90.35,5.6,"2 km SSE of Quequeña, Peru"
1608134905245,-6.3582,143.1577,7.54,5.2,"59 km WSW of Mendi, Papua New Guinea"
1608114654894,5.2167,125.2755,26.14,5.0,"29 km SW of Sarangani, Philippines"
1608097763788,53.5231,-160.0638,10.48,5.3,"203 km S of Sand Point, Alaska"
1608082087061,42.7117,144.1756,50.14,5.0,"33 km SSW of Kushiro, Japan"
1608074517807,5.1789,125.4212,14.0,6.1,"25 km S of Sarangani, Philippines"
1608072185882,-15.6354,167.7782,119.97,5.1,"62 km NE of Norsup, Vanuatu"
1607975960563,-17.6023,-172.7375,10.0,5.0,"175 km NE of Neiafu, Tonga"
1607974558558,72.2351,0.742,10.0,5.8,Norwegian Sea
1607959249542,-21.8063,-68.7079,114.0,6.0,"75 km NNE of Calama, Chile"
1607911030822,-23.9372,179.8899,525.52,5.6,south of the Fiji Islands
1607897158821,-4.1941,153.1187,10.0,5.2,"95 km E of Kokopo, Papua New Guinea"
1607869780650,-16.641,-173.211,10.0,5.1,"98 km SE of Hihifo, Tonga"
1607844334199,-24.0371,176.5886,10.0,5.3,south of the Fiji Islands
1607842534195,-40.285,78.1391,10.0,5.1,Mid-Indian Ridge
1607795282388,-3.7925,151.8513,10.0,5.1,"56 km NW of Rabaul, Papua New Guinea"
1607788522513,-8.9999,123.4945,95.11,5.3,"72 km NNW of Naisano Dua, Indonesia"
1607757534231,40.1213,142.0551,44.0,5.5,"53 km N of Miyako, Japan"
1607739850270,5.7554,-77.8605,10.0,5.0,"65 km W of Nuquí, Colombia"
1607700600089,-32.9109,-179.0474,43.45,5.1,south of the Kermadec Islands
1607680120595,24.2994,125.2777,19.46,5.1,"southwestern Ryukyu Islands, Japan"
1607633337143,-17.5631,-174.8703,10.0,5.9,"152 km NW of Neiafu, Tonga"
1607632928277,-32.879,-179.8513,96.0,5.9,south of the Kermadec Islands
1607612689909,1.5799,126.2457,26.34,5.0,"141 km E of Laikit, Laikit II (Dimembe), Indonesia"
1607606398682,24.7818,122.0243,71.0,6.1,"27 km E of Yilan, Taiwan"
1607600481595,-22.1503,-179.5052,577.71,5.2,south of the Fiji Islands
1607554958877,-56.4608,-25.2759,10.0,5.0,South Sandwich Islands region
1607550273981,52.4198,106.7208,17.0,5.4,"41 km N of Kabansk, Russia"
1607496425867,53.1097,170.5438,14.42,5.2,"179 km W of Attu Station, Alaska"
1607470411329,-28.2202,-176.1391,10.0,5.4,Kermadec Islands region
1607450202337,16.0067,-95.2266,28.86,5.4,"18 km ESE of El Carrizal, Mexico"
1607411240597,-32.0622,-71.5075,44.26,5.0,"50 km NNW of La Ligua, Chile"
1607404475415,22.2089,94.3877,90.82,5.1,"77 km W of Monywa, Myanmar"
1607397719906,4.7546,-77.4135,35.0,5.1,"22 km SSW of Pizarro, Colombia"
1607388444531,22.5204,144.7385,20.0,5.5,"Volcano Islands, Japan region"
1607380201554,-8.2703,159.2686,59.52,5.1,"38 km WSW of Buala, Solomon Islands"
1607351844035,12.9771,124.5106,68.9,5.4,"36 km NNE of Biri, Philippines"
1607318745398,-21.0286,-179.1109,613.27,5.4,Fiji region
1607273262643,-20.3947,-69.0609,105.0,6.1,"115 km E of Iquique, Chile"
1607236886302,-18.9406,-172.9708,10.0,5.2,"111 km ESE of Neiafu, Tonga"
1607230210817,-54.688,-130.6501,10.0,5.0,Pacific-Antarctic Ridge
1607172280454,36.0719,31.8808,84.52,5.3,"45 km WSW of Gazipa?a, Turkey"
1607150918481,-62.3307,-58.2715,6.8,5.1,South Shetland Islands
1607150600068,-18.8724,-172.8209,10.0,5.4,"125 km E of Neiafu, Tonga"
1607113811531,-40.2293,77.9225,10.0,5.1,Mid-Indian Ridge
1607060903090,-31.3225,-68.9453,105.42,5.0,"32 km NW of Villa Basilio Nievas, Argentina"
1607054777720,-23.8622,-66.5468,193.4,5.1,"45 km NNW of San Antonio de los Cobres, Argentina"
1607048398862,11.5614,-87.1227,10.0,5.0,"70 km WSW of Masachapa, Nicaragua"
1607024919731,3.2875,98.2137,128.21,5.0,"34 km WNW of Berastagi, Indonesia"
1607015252719,-22.7319,170.6841,10.0,5.4,southeast of the Loyalty Islands
1606976147157,-57.0424,-140.8861,10.0,5.0,Pacific-Antarctic Ridge
1606974319821,37.9458,41.697,10.0,5.0,"2 km NNE of Kurtalan, Turkey"
1606963046432,-31.9253,-67.141,127.68,5.2,"104 km NW of Villa General Roca, Argentina"
1606941383070,-3.4416,123.2663,13.35,5.2,"102 km NE of Kendari, Indonesia"
1606938023036,-6.1892,-107.3854,10.0,5.5,central East Pacific Rise
1606928435810,-24.2149,-69.3203,66.44,5.2,"125 km ESE of Antofagasta, Chile"
1606902022467,-15.2349,-173.1823,10.0,5.2,"103 km NE of Hihifo, Tonga"
1606865576573,38.1637,-118.0837,5.0,5.1,"25 km S of Mina, Nevada"
1606855977066,-61.9496,154.7341,10.0,6.0,Balleny Islands region
1606844351013,-59.8745,-26.4553,73.89,5.1,South Sandwich Islands region
1606840548161,53.6855,-150.5827,10.0,5.7,south of Alaska
1606839759923,52.7551,-168.2401,23.0,6.4,"46 km ESE of Nikolski, Alaska"
1606776903914,-24.3221,-67.0048,189.0,6.3,"71 km W of San Antonio de los Cobres, Argentina"
1606776874601,48.2521,140.7971,589.0,6.4,"88 km SSE of Sovetskaya Gavan’, Russia"
1606763654819,-2.8631,147.726,10.0,5.4,"104 km SSE of Lorengau, Papua New Guinea"
1606756452006,3.067,96.1349,27.89,5.0,"70 km NNW of Sinabang, Indonesia"
1606712349984,52.7448,-168.2605,34.0,5.5,"45 km ESE of Nikolski, Alaska"
1606696624394,-17.5311,-174.6434,10.0,5.0,"142 km NNW of Neiafu, Tonga"
1606694214428,-17.6793,-174.7733,10.0,5.6,"136 km NW of Neiafu, Tonga"
1606686322660,-31.8543,179.1983,462.3,5.4,Kermadec Islands region
1606668738619,-31.2456,58.6738,10.0,5.0,Southwest Indian Ridge
1606668043995,-23.2591,-65.0281,8.0,5.8,"33 km E of Humahuaca, Argentina"
